Line Text,Bounding Box
11:07,"[{'x': 130, 'y': 54}, {'x': 253, 'y': 54}, {'x': 251, 'y': 100}, {'x': 130, 'y': 101}]"
50,"[{'x': 992, 'y': 57}, {'x': 1084, 'y': 58}, {'x': 1083, 'y': 96}, {'x': 992, 'y': 98}]"
3,"[{'x': 107, 'y': 207}, {'x': 133, 'y': 209}, {'x': 131, 'y': 239}, {'x': 106, 'y': 238}]"
+1 (757) 832-3052,"[{'x': 419, 'y': 323}, {'x': 735, 'y': 323}, {'x': 735, 'y': 359}, {'x': 419, 'y': 361}]"
Text Message,"[{'x': 472, 'y': 427}, {'x': 698, 'y': 430}, {'x': 698, 'y': 464}, {'x': 472, 'y': 462}]"
"Sun, Mar 17 at 10:43 AM","[{'x': 390, 'y': 465}, {'x': 777, 'y': 465}, {'x': 777, 'y': 501}, {'x': 390, 'y': 502}]"
"Hi, do you wor k today?","[{'x': 77, 'y': 558}, {'x': 618, 'y': 558}, {'x': 617, 'y': 615}, {'x': 77, 'y': 615}]"
The sender is not in your contact list.,"[{'x': 280, 'y': 695}, {'x': 883, 'y': 695}, {'x': 883, 'y': 735}, {'x': 280, 'y': 734}]"
Report Junk,"[{'x': 484, 'y': 754}, {'x': 684, 'y': 754}, {'x': 684, 'y': 789}, {'x': 484, 'y': 789}]"
+,"[{'x': 69, 'y': 2327}, {'x': 118, 'y': 2328}, {'x': 116, 'y': 2375}, {'x': 68, 'y': 2374}]"
Text Message,"[{'x': 213, 'y': 2327}, {'x': 538, 'y': 2330}, {'x': 537, 'y': 2380}, {'x': 213, 'y': 2377}]"
