Line Text,Bounding Box
11:01,"[{'x': 129, 'y': 55}, {'x': 249, 'y': 55}, {'x': 249, 'y': 101}, {'x': 130, 'y': 101}]"
51,"[{'x': 1023, 'y': 61}, {'x': 1060, 'y': 62}, {'x': 1059, 'y': 93}, {'x': 1022, 'y': 93}]"
3,"[{'x': 107, 'y': 207}, {'x': 131, 'y': 209}, {'x': 131, 'y': 239}, {'x': 106, 'y': 239}]"
+1 (307) 757-1891,"[{'x': 426, 'y': 324}, {'x': 720, 'y': 324}, {'x': 720, 'y': 357}, {'x': 426, 'y': 358}]"
Text Message,"[{'x': 471, 'y': 429}, {'x': 698, 'y': 431}, {'x': 698, 'y': 463}, {'x': 471, 'y': 462}]"
"Dec 24, 2021 at 9:24 PM","[{'x': 388, 'y': 467}, {'x': 782, 'y': 467}, {'x': 782, 'y': 499}, {'x': 388, 'y': 500}]"
Dear cash APP user please,"[{'x': 82, 'y': 560}, {'x': 701, 'y': 561}, {'x': 701, 'y': 610}, {'x': 82, 'y': 609}]"
confirm your recent $750 deposit,"[{'x': 83, 'y': 622}, {'x': 850, 'y': 619}, {'x': 850, 'y': 671}, {'x': 83, 'y': 674}]"
here sacredmonopoly.com/,"[{'x': 80, 'y': 681}, {'x': 706, 'y': 681}, {'x': 706, 'y': 731}, {'x': 80, 'y': 731}]"
5QMF3U1,"[{'x': 85, 'y': 739}, {'x': 320, 'y': 739}, {'x': 320, 'y': 787}, {'x': 85, 'y': 787}]"
The sender is not in your contact list.,"[{'x': 280, 'y': 875}, {'x': 882, 'y': 876}, {'x': 882, 'y': 914}, {'x': 280, 'y': 913}]"
Report Junk,"[{'x': 481, 'y': 933}, {'x': 684, 'y': 933}, {'x': 684, 'y': 969}, {'x': 481, 'y': 970}]"
+,"[{'x': 69, 'y': 2327}, {'x': 118, 'y': 2328}, {'x': 116, 'y': 2375}, {'x': 68, 'y': 2374}]"
Text Message,"[{'x': 213, 'y': 2327}, {'x': 538, 'y': 2330}, {'x': 537, 'y': 2380}, {'x': 213, 'y': 2377}]"
