Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
10:52,"[{'x': 122, 'y': 31}, {'x': 257, 'y': 31}, {'x': 257, 'y': 74}, {'x': 122, 'y': 73}]",10:52,"[{'x': 126, 'y': 31}, {'x': 255, 'y': 32}, {'x': 255, 'y': 75}, {'x': 125, 'y': 74}]",0.9970
~ 52,"[{'x': 932, 'y': 59}, {'x': 1084, 'y': 58}, {'x': 1085, 'y': 97}, {'x': 932, 'y': 98}]",~,"[{'x': 947, 'y': 62}, {'x': 966, 'y': 61}, {'x': 966, 'y': 98}, {'x': 947, 'y': 97}]",0.1560
~ 52,"[{'x': 932, 'y': 59}, {'x': 1084, 'y': 58}, {'x': 1085, 'y': 97}, {'x': 932, 'y': 98}]",52,"[{'x': 1024, 'y': 59}, {'x': 1072, 'y': 59}, {'x': 1071, 'y': 98}, {'x': 1023, 'y': 98}]",0.9930
YouTube,"[{'x': 38, 'y': 95}, {'x': 207, 'y': 96}, {'x': 207, 'y': 126}, {'x': 38, 'y': 125}]",YouTube,"[{'x': 73, 'y': 96}, {'x': 204, 'y': 98}, {'x': 203, 'y': 126}, {'x': 72, 'y': 126}]",0.9540
4,"[{'x': 106, 'y': 206}, {'x': 133, 'y': 209}, {'x': 133, 'y': 241}, {'x': 104, 'y': 239}]",4,"[{'x': 110, 'y': 206}, {'x': 127, 'y': 207}, {'x': 124, 'y': 240}, {'x': 107, 'y': 239}]",0.9950
lundriganchandra@gmail.com >,"[{'x': 336, 'y': 321}, {'x': 825, 'y': 322}, {'x': 825, 'y': 360}, {'x': 336, 'y': 359}]",lundriganchandra@gmail.com,"[{'x': 337, 'y': 322}, {'x': 793, 'y': 323}, {'x': 793, 'y': 360}, {'x': 337, 'y': 360}]",0.9010
lundriganchandra@gmail.com >,"[{'x': 336, 'y': 321}, {'x': 825, 'y': 322}, {'x': 825, 'y': 360}, {'x': 336, 'y': 359}]",>,"[{'x': 814, 'y': 323}, {'x': 826, 'y': 323}, {'x': 826, 'y': 360}, {'x': 814, 'y': 360}]",0.8300
iMessage,"[{'x': 505, 'y': 429}, {'x': 661, 'y': 429}, {'x': 661, 'y': 465}, {'x': 505, 'y': 464}]",iMessage,"[{'x': 506, 'y': 429}, {'x': 657, 'y': 432}, {'x': 658, 'y': 463}, {'x': 506, 'y': 465}]",0.9890
"Thu, May 9 at 7:12 PM","[{'x': 409, 'y': 466}, {'x': 756, 'y': 466}, {'x': 756, 'y': 502}, {'x': 409, 'y': 506}]","Thu,","[{'x': 411, 'y': 467}, {'x': 484, 'y': 466}, {'x': 482, 'y': 505}, {'x': 410, 'y': 507}]",0.9880
"Thu, May 9 at 7:12 PM","[{'x': 409, 'y': 466}, {'x': 756, 'y': 466}, {'x': 756, 'y': 502}, {'x': 409, 'y': 506}]",May,"[{'x': 491, 'y': 466}, {'x': 558, 'y': 466}, {'x': 557, 'y': 503}, {'x': 490, 'y': 505}]",0.9990
"Thu, May 9 at 7:12 PM","[{'x': 409, 'y': 466}, {'x': 756, 'y': 466}, {'x': 756, 'y': 502}, {'x': 409, 'y': 506}]",9,"[{'x': 568, 'y': 466}, {'x': 587, 'y': 466}, {'x': 586, 'y': 503}, {'x': 567, 'y': 503}]",0.9950
"Thu, May 9 at 7:12 PM","[{'x': 409, 'y': 466}, {'x': 756, 'y': 466}, {'x': 756, 'y': 502}, {'x': 409, 'y': 506}]",at,"[{'x': 599, 'y': 466}, {'x': 633, 'y': 466}, {'x': 633, 'y': 502}, {'x': 599, 'y': 503}]",0.9980
"Thu, May 9 at 7:12 PM","[{'x': 409, 'y': 466}, {'x': 756, 'y': 466}, {'x': 756, 'y': 502}, {'x': 409, 'y': 506}]",7:12,"[{'x': 640, 'y': 466}, {'x': 701, 'y': 466}, {'x': 700, 'y': 501}, {'x': 640, 'y': 502}]",0.9750
"Thu, May 9 at 7:12 PM","[{'x': 409, 'y': 466}, {'x': 756, 'y': 466}, {'x': 756, 'y': 502}, {'x': 409, 'y': 506}]",PM,"[{'x': 708, 'y': 467}, {'x': 746, 'y': 467}, {'x': 746, 'y': 500}, {'x': 708, 'y': 501}]",0.9980
