Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
10:58,"[{'x': 126, 'y': 54}, {'x': 260, 'y': 55}, {'x': 259, 'y': 99}, {'x': 126, 'y': 99}]",10:58,"[{'x': 126, 'y': 54}, {'x': 251, 'y': 54}, {'x': 251, 'y': 99}, {'x': 126, 'y': 98}]",0.9930
3,"[{'x': 107, 'y': 207}, {'x': 133, 'y': 210}, {'x': 131, 'y': 239}, {'x': 106, 'y': 239}]",3,"[{'x': 111, 'y': 207}, {'x': 128, 'y': 208}, {'x': 126, 'y': 240}, {'x': 109, 'y': 239}]",0.9970
+1 (608) 807-2767 >,"[{'x': 419, 'y': 324}, {'x': 741, 'y': 324}, {'x': 741, 'y': 359}, {'x': 419, 'y': 359}]",+1,"[{'x': 424, 'y': 324}, {'x': 460, 'y': 324}, {'x': 462, 'y': 359}, {'x': 425, 'y': 360}]",0.9580
+1 (608) 807-2767 >,"[{'x': 419, 'y': 324}, {'x': 741, 'y': 324}, {'x': 741, 'y': 359}, {'x': 419, 'y': 359}]",(608),"[{'x': 467, 'y': 324}, {'x': 559, 'y': 324}, {'x': 560, 'y': 358}, {'x': 468, 'y': 359}]",0.9950
+1 (608) 807-2767 >,"[{'x': 419, 'y': 324}, {'x': 741, 'y': 324}, {'x': 741, 'y': 359}, {'x': 419, 'y': 359}]",807-2767,"[{'x': 568, 'y': 324}, {'x': 723, 'y': 327}, {'x': 724, 'y': 357}, {'x': 569, 'y': 358}]",0.9940
+1 (608) 807-2767 >,"[{'x': 419, 'y': 324}, {'x': 741, 'y': 324}, {'x': 741, 'y': 359}, {'x': 419, 'y': 359}]",>,"[{'x': 730, 'y': 327}, {'x': 741, 'y': 327}, {'x': 741, 'y': 357}, {'x': 731, 'y': 357}]",0.5970
Text Message,"[{'x': 471, 'y': 429}, {'x': 696, 'y': 430}, {'x': 696, 'y': 462}, {'x': 471, 'y': 461}]",Text,"[{'x': 476, 'y': 429}, {'x': 542, 'y': 430}, {'x': 542, 'y': 462}, {'x': 476, 'y': 462}]",0.9930
Text Message,"[{'x': 471, 'y': 429}, {'x': 696, 'y': 430}, {'x': 696, 'y': 462}, {'x': 471, 'y': 461}]",Message,"[{'x': 548, 'y': 430}, {'x': 691, 'y': 432}, {'x': 691, 'y': 462}, {'x': 548, 'y': 462}]",0.9940
"Dec 10, 2020 at 2:17 PM","[{'x': 392, 'y': 466}, {'x': 777, 'y': 465}, {'x': 777, 'y': 499}, {'x': 392, 'y': 500}]",Dec,"[{'x': 394, 'y': 467}, {'x': 452, 'y': 467}, {'x': 451, 'y': 500}, {'x': 392, 'y': 501}]",0.9980
"Dec 10, 2020 at 2:17 PM","[{'x': 392, 'y': 466}, {'x': 777, 'y': 465}, {'x': 777, 'y': 499}, {'x': 392, 'y': 500}]","10,","[{'x': 466, 'y': 467}, {'x': 516, 'y': 466}, {'x': 516, 'y': 500}, {'x': 465, 'y': 500}]",0.9940
