Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
5:33,"[{'x': 134, 'y': 54}, {'x': 248, 'y': 54}, {'x': 247, 'y': 97}, {'x': 134, 'y': 97}]",5:33,"[{'x': 134, 'y': 54}, {'x': 239, 'y': 54}, {'x': 239, 'y': 97}, {'x': 134, 'y': 97}]",0.9890
237,"[{'x': 110, 'y': 210}, {'x': 169, 'y': 211}, {'x': 169, 'y': 239}, {'x': 110, 'y': 241}]",237,"[{'x': 112, 'y': 210}, {'x': 168, 'y': 210}, {'x': 168, 'y': 241}, {'x': 112, 'y': 241}]",0.9980
+1 (409) 796-9392 ),"[{'x': 416, 'y': 323}, {'x': 739, 'y': 323}, {'x': 739, 'y': 358}, {'x': 416, 'y': 360}]",+1,"[{'x': 421, 'y': 324}, {'x': 456, 'y': 324}, {'x': 457, 'y': 360}, {'x': 423, 'y': 361}]",0.9950
+1 (409) 796-9392 ),"[{'x': 416, 'y': 323}, {'x': 739, 'y': 323}, {'x': 739, 'y': 358}, {'x': 416, 'y': 360}]",(409),"[{'x': 462, 'y': 324}, {'x': 558, 'y': 324}, {'x': 558, 'y': 359}, {'x': 463, 'y': 360}]",0.9870
+1 (409) 796-9392 ),"[{'x': 416, 'y': 323}, {'x': 739, 'y': 323}, {'x': 739, 'y': 358}, {'x': 416, 'y': 360}]",796-9392,"[{'x': 565, 'y': 324}, {'x': 724, 'y': 325}, {'x': 723, 'y': 358}, {'x': 565, 'y': 359}]",0.9930
+1 (409) 796-9392 ),"[{'x': 416, 'y': 323}, {'x': 739, 'y': 323}, {'x': 739, 'y': 358}, {'x': 416, 'y': 360}]",),"[{'x': 732, 'y': 324}, {'x': 739, 'y': 324}, {'x': 737, 'y': 358}, {'x': 731, 'y': 358}]",0.1230
Text Message . SMS,"[{'x': 418, 'y': 427}, {'x': 751, 'y': 427}, {'x': 751, 'y': 464}, {'x': 418, 'y': 464}]",Text,"[{'x': 423, 'y': 427}, {'x': 489, 'y': 428}, {'x': 489, 'y': 465}, {'x': 423, 'y': 465}]",0.9930
Text Message . SMS,"[{'x': 418, 'y': 427}, {'x': 751, 'y': 427}, {'x': 751, 'y': 464}, {'x': 418, 'y': 464}]",Message,"[{'x': 496, 'y': 428}, {'x': 639, 'y': 429}, {'x': 639, 'y': 464}, {'x': 496, 'y': 464}]",0.9940
Text Message . SMS,"[{'x': 418, 'y': 427}, {'x': 751, 'y': 427}, {'x': 751, 'y': 464}, {'x': 418, 'y': 464}]",.,"[{'x': 648, 'y': 429}, {'x': 669, 'y': 429}, {'x': 670, 'y': 464}, {'x': 649, 'y': 464}]",0.8570
Text Message . SMS,"[{'x': 418, 'y': 427}, {'x': 751, 'y': 427}, {'x': 751, 'y': 464}, {'x': 418, 'y': 464}]",SMS,"[{'x': 677, 'y': 429}, {'x': 746, 'y': 428}, {'x': 748, 'y': 464}, {'x': 678, 'y': 464}]",0.9990
"Sun, Sep 29 at 7:30 PM","[{'x': 395, 'y': 464}, {'x': 772, 'y': 464}, {'x': 772, 'y': 501}, {'x': 395, 'y': 501}]","Sun,","[{'x': 400, 'y': 465}, {'x': 476, 'y': 465}, {'x': 474, 'y': 502}, {'x': 398, 'y': 502}]",0.9910
"Sun, Sep 29 at 7:30 PM","[{'x': 395, 'y': 464}, {'x': 772, 'y': 464}, {'x': 772, 'y': 501}, {'x': 395, 'y': 501}]",Sep,"[{'x': 483, 'y': 465}, {'x': 539, 'y': 465}, {'x': 537, 'y': 501}, {'x': 481, 'y': 502}]",0.9980
"Sun, Sep 29 at 7:30 PM","[{'x': 395, 'y': 464}, {'x': 772, 'y': 464}, {'x': 772, 'y': 501}, {'x': 395, 'y': 501}]",29,"[{'x': 554, 'y': 465}, {'x': 591, 'y': 465}, {'x': 589, 'y': 501}, {'x': 552, 'y': 501}]",0.9930
"Sun, Sep 29 at 7:30 PM","[{'x': 395, 'y': 464}, {'x': 772, 'y': 464}, {'x': 772, 'y': 501}, {'x': 395, 'y': 501}]",at,"[{'x': 603, 'y': 465}, {'x': 639, 'y': 466}, {'x': 637, 'y': 501}, {'x': 601, 'y': 501}]",0.9930
"Sun, Sep 29 at 7:30 PM","[{'x': 395, 'y': 464}, {'x': 772, 'y': 464}, {'x': 772, 'y': 501}, {'x': 395, 'y': 501}]",7:30,"[{'x': 646, 'y': 466}, {'x': 712, 'y': 466}, {'x': 710, 'y': 501}, {'x': 644, 'y': 501}]",0.9930
"Sun, Sep 29 at 7:30 PM","[{'x': 395, 'y': 464}, {'x': 772, 'y': 464}, {'x': 772, 'y': 501}, {'x': 395, 'y': 501}]",PM,"[{'x': 719, 'y': 466}, {'x': 756, 'y': 466}, {'x': 755, 'y': 501}, {'x': 718, 'y': 501}]",0.9980
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]",Simmons,"[{'x': 84, 'y': 562}, {'x': 262, 'y': 564}, {'x': 262, 'y': 605}, {'x': 84, 'y': 604}]",0.9930
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]",here.,"[{'x': 271, 'y': 564}, {'x': 374, 'y': 564}, {'x': 373, 'y': 605}, {'x': 270, 'y': 605}]",0.9970
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]",Become,"[{'x': 382, 'y': 564}, {'x': 538, 'y': 564}, {'x': 537, 'y': 605}, {'x': 381, 'y': 605}]",0.9960
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]",a,"[{'x': 552, 'y': 564}, {'x': 573, 'y': 564}, {'x': 572, 'y': 605}, {'x': 551, 'y': 605}]",0.9980
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]",part,"[{'x': 584, 'y': 564}, {'x': 668, 'y': 564}, {'x': 667, 'y': 605}, {'x': 583, 'y': 605}]",0.9930
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]",of,"[{'x': 676, 'y': 564}, {'x': 720, 'y': 564}, {'x': 718, 'y': 605}, {'x': 675, 'y': 605}]",0.9990
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]",our,"[{'x': 728, 'y': 564}, {'x': 793, 'y': 564}, {'x': 791, 'y': 605}, {'x': 726, 'y': 605}]",0.9990
group and get to know how to access,"[{'x': 80, 'y': 617}, {'x': 805, 'y': 615}, {'x': 806, 'y': 656}, {'x': 80, 'y': 659}]",group,"[{'x': 83, 'y': 619}, {'x': 190, 'y': 617}, {'x': 191, 'y': 659}, {'x': 84, 'y': 660}]",0.9980
group and get to know how to access,"[{'x': 80, 'y': 617}, {'x': 805, 'y': 615}, {'x': 806, 'y': 656}, {'x': 80, 'y': 659}]",and,"[{'x': 207, 'y': 617}, {'x': 273, 'y': 616}, {'x': 274, 'y': 659}, {'x': 208, 'y': 659}]",0.9990
group and get to know how to access,"[{'x': 80, 'y': 617}, {'x': 805, 'y': 615}, {'x': 806, 'y': 656}, {'x': 80, 'y': 659}]",get,"[{'x': 290, 'y': 616}, {'x': 358, 'y': 616}, {'x': 358, 'y': 658}, {'x': 291, 'y': 659}]",0.9990
group and get to know how to access,"[{'x': 80, 'y': 617}, {'x': 805, 'y': 615}, {'x': 806, 'y': 656}, {'x': 80, 'y': 659}]",to,"[{'x': 366, 'y': 616}, {'x': 400, 'y': 616}, {'x': 400, 'y': 658}, {'x': 366, 'y': 658}]",0.9990
group and get to know how to access,"[{'x': 80, 'y': 617}, {'x': 805, 'y': 615}, {'x': 806, 'y': 656}, {'x': 80, 'y': 659}]",know,"[{'x': 414, 'y': 616}, {'x': 505, 'y': 616}, {'x': 505, 'y': 657}, {'x': 414, 'y': 658}]",0.9930
