Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
11:01,"[{'x': 129, 'y': 55}, {'x': 249, 'y': 55}, {'x': 249, 'y': 101}, {'x': 130, 'y': 101}]",11:01,"[{'x': 132, 'y': 55}, {'x': 249, 'y': 55}, {'x': 249, 'y': 101}, {'x': 132, 'y': 101}]",0.9930
51,"[{'x': 1023, 'y': 61}, {'x': 1060, 'y': 62}, {'x': 1059, 'y': 93}, {'x': 1022, 'y': 93}]",51,"[{'x': 1024, 'y': 61}, {'x': 1058, 'y': 61}, {'x': 1058, 'y': 93}, {'x': 1024, 'y': 92}]",0.9900
3,"[{'x': 107, 'y': 207}, {'x': 131, 'y': 209}, {'x': 131, 'y': 239}, {'x': 106, 'y': 239}]",3,"[{'x': 109, 'y': 207}, {'x': 128, 'y': 208}, {'x': 126, 'y': 240}, {'x': 108, 'y': 239}]",0.9750
+1 (307) 757-1891,"[{'x': 426, 'y': 324}, {'x': 720, 'y': 324}, {'x': 720, 'y': 357}, {'x': 426, 'y': 358}]",+1,"[{'x': 429, 'y': 324}, {'x': 465, 'y': 325}, {'x': 465, 'y': 359}, {'x': 429, 'y': 359}]",0.9840
+1 (307) 757-1891,"[{'x': 426, 'y': 324}, {'x': 720, 'y': 324}, {'x': 720, 'y': 357}, {'x': 426, 'y': 358}]",(307),"[{'x': 471, 'y': 325}, {'x': 562, 'y': 325}, {'x': 562, 'y': 358}, {'x': 471, 'y': 359}]",0.9850
+1 (307) 757-1891,"[{'x': 426, 'y': 324}, {'x': 720, 'y': 324}, {'x': 720, 'y': 357}, {'x': 426, 'y': 358}]",757-1891,"[{'x': 571, 'y': 325}, {'x': 720, 'y': 326}, {'x': 718, 'y': 356}, {'x': 571, 'y': 358}]",0.9930
Text Message,"[{'x': 471, 'y': 429}, {'x': 698, 'y': 431}, {'x': 698, 'y': 463}, {'x': 471, 'y': 462}]",Text,"[{'x': 476, 'y': 430}, {'x': 543, 'y': 431}, {'x': 542, 'y': 461}, {'x': 476, 'y': 463}]",0.9890
Text Message,"[{'x': 471, 'y': 429}, {'x': 698, 'y': 431}, {'x': 698, 'y': 463}, {'x': 471, 'y': 462}]",Message,"[{'x': 549, 'y': 431}, {'x': 692, 'y': 432}, {'x': 689, 'y': 464}, {'x': 548, 'y': 461}]",0.9940
"Dec 24, 2021 at 9:24 PM","[{'x': 388, 'y': 467}, {'x': 782, 'y': 467}, {'x': 782, 'y': 499}, {'x': 388, 'y': 500}]",Dec,"[{'x': 390, 'y': 468}, {'x': 448, 'y': 467}, {'x': 447, 'y': 500}, {'x': 389, 'y': 500}]",0.9980
"Dec 24, 2021 at 9:24 PM","[{'x': 388, 'y': 467}, {'x': 782, 'y': 467}, {'x': 782, 'y': 499}, {'x': 388, 'y': 500}]","24,","[{'x': 466, 'y': 467}, {'x': 518, 'y': 467}, {'x': 517, 'y': 500}, {'x': 464, 'y': 500}]",0.9900
"Dec 24, 2021 at 9:24 PM","[{'x': 388, 'y': 467}, {'x': 782, 'y': 467}, {'x': 782, 'y': 499}, {'x': 388, 'y': 500}]",2021,"[{'x': 527, 'y': 467}, {'x': 604, 'y': 467}, {'x': 603, 'y': 500}, {'x': 526, 'y': 500}]",0.9910
"Dec 24, 2021 at 9:24 PM","[{'x': 388, 'y': 467}, {'x': 782, 'y': 467}, {'x': 782, 'y': 499}, {'x': 388, 'y': 500}]",at,"[{'x': 611, 'y': 467}, {'x': 647, 'y': 468}, {'x': 645, 'y': 500}, {'x': 610, 'y': 500}]",0.9930
"Dec 24, 2021 at 9:24 PM","[{'x': 388, 'y': 467}, {'x': 782, 'y': 467}, {'x': 782, 'y': 499}, {'x': 388, 'y': 500}]",9:24,"[{'x': 653, 'y': 468}, {'x': 720, 'y': 468}, {'x': 719, 'y': 499}, {'x': 652, 'y': 500}]",0.9880
"Dec 24, 2021 at 9:24 PM","[{'x': 388, 'y': 467}, {'x': 782, 'y': 467}, {'x': 782, 'y': 499}, {'x': 388, 'y': 500}]",PM,"[{'x': 729, 'y': 468}, {'x': 767, 'y': 468}, {'x': 765, 'y': 499}, {'x': 728, 'y': 499}]",0.9980
Dear cash APP user please,"[{'x': 82, 'y': 560}, {'x': 701, 'y': 561}, {'x': 701, 'y': 610}, {'x': 82, 'y': 609}]",Dear,"[{'x': 83, 'y': 562}, {'x': 194, 'y': 561}, {'x': 194, 'y': 609}, {'x': 83, 'y': 608}]",0.9930
Dear cash APP user please,"[{'x': 82, 'y': 560}, {'x': 701, 'y': 561}, {'x': 701, 'y': 610}, {'x': 82, 'y': 609}]",cash,"[{'x': 204, 'y': 561}, {'x': 308, 'y': 561}, {'x': 307, 'y': 610}, {'x': 203, 'y': 610}]",0.9930
Dear cash APP user please,"[{'x': 82, 'y': 560}, {'x': 701, 'y': 561}, {'x': 701, 'y': 610}, {'x': 82, 'y': 609}]",APP,"[{'x': 328, 'y': 561}, {'x': 416, 'y': 561}, {'x': 415, 'y': 610}, {'x': 327, 'y': 610}]",0.9880
Dear cash APP user please,"[{'x': 82, 'y': 560}, {'x': 701, 'y': 561}, {'x': 701, 'y': 610}, {'x': 82, 'y': 609}]",user,"[{'x': 433, 'y': 561}, {'x': 538, 'y': 561}, {'x': 536, 'y': 610}, {'x': 431, 'y': 610}]",0.9930
Dear cash APP user please,"[{'x': 82, 'y': 560}, {'x': 701, 'y': 561}, {'x': 701, 'y': 610}, {'x': 82, 'y': 609}]",please,"[{'x': 547, 'y': 562}, {'x': 693, 'y': 563}, {'x': 690, 'y': 610}, {'x': 545, 'y': 610}]",0.9960
confirm your recent $750 deposit,"[{'x': 83, 'y': 622}, {'x': 850, 'y': 619}, {'x': 850, 'y': 671}, {'x': 83, 'y': 674}]",confirm,"[{'x': 83, 'y': 623}, {'x': 238, 'y': 623}, {'x': 238, 'y': 674}, {'x': 83, 'y': 674}]",0.9930
