Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
11:06,"[{'x': 151, 'y': 66}, {'x': 281, 'y': 64}, {'x': 282, 'y': 107}, {'x': 151, 'y': 109}]",11:06,"[{'x': 152, 'y': 66}, {'x': 269, 'y': 65}, {'x': 267, 'y': 108}, {'x': 152, 'y': 109}]",0.9830
100,"[{'x': 1008, 'y': 73}, {'x': 1073, 'y': 71}, {'x': 1073, 'y': 101}, {'x': 1007, 'y': 103}]",100,"[{'x': 1008, 'y': 73}, {'x': 1062, 'y': 71}, {'x': 1062, 'y': 101}, {'x': 1009, 'y': 103}]",0.9940
ozellastreich_91318@dongyuandianqi.com,"[{'x': 242, 'y': 355}, {'x': 925, 'y': 356}, {'x': 925, 'y': 393}, {'x': 242, 'y': 391}]",ozellastreich_91318@dongyuandianqi.com,"[{'x': 244, 'y': 357}, {'x': 900, 'y': 357}, {'x': 898, 'y': 394}, {'x': 242, 'y': 389}]",0.8450
iMessage,"[{'x': 511, 'y': 459}, {'x': 666, 'y': 462}, {'x': 666, 'y': 492}, {'x': 511, 'y': 491}]",iMessage,"[{'x': 511, 'y': 459}, {'x': 661, 'y': 465}, {'x': 661, 'y': 492}, {'x': 511, 'y': 492}]",0.9940
Today 10:58 AM,"[{'x': 462, 'y': 497}, {'x': 717, 'y': 497}, {'x': 717, 'y': 532}, {'x': 462, 'y': 532}]",Today,"[{'x': 465, 'y': 497}, {'x': 556, 'y': 498}, {'x': 557, 'y': 533}, {'x': 465, 'y': 533}]",0.9970
Today 10:58 AM,"[{'x': 462, 'y': 497}, {'x': 717, 'y': 497}, {'x': 717, 'y': 532}, {'x': 462, 'y': 532}]",10:58,"[{'x': 570, 'y': 498}, {'x': 654, 'y': 498}, {'x': 655, 'y': 532}, {'x': 571, 'y': 533}]",0.9940
Today 10:58 AM,"[{'x': 462, 'y': 497}, {'x': 717, 'y': 497}, {'x': 717, 'y': 532}, {'x': 462, 'y': 532}]",AM,"[{'x': 662, 'y': 498}, {'x': 700, 'y': 498}, {'x': 702, 'y': 532}, {'x': 663, 'y': 532}]",0.9980
The USPS package has arrived at,"[{'x': 82, 'y': 591}, {'x': 850, 'y': 591}, {'x': 850, 'y': 643}, {'x': 82, 'y': 644}]",The,"[{'x': 86, 'y': 591}, {'x': 166, 'y': 591}, {'x': 166, 'y': 645}, {'x': 86, 'y': 645}]",0.9990
The USPS package has arrived at,"[{'x': 82, 'y': 591}, {'x': 850, 'y': 591}, {'x': 850, 'y': 643}, {'x': 82, 'y': 644}]",USPS,"[{'x': 180, 'y': 591}, {'x': 311, 'y': 592}, {'x': 311, 'y': 645}, {'x': 180, 'y': 645}]",0.9890
The USPS package has arrived at,"[{'x': 82, 'y': 591}, {'x': 850, 'y': 591}, {'x': 850, 'y': 643}, {'x': 82, 'y': 644}]",package,"[{'x': 325, 'y': 592}, {'x': 520, 'y': 592}, {'x': 520, 'y': 644}, {'x': 325, 'y': 645}]",0.9950
The USPS package has arrived at,"[{'x': 82, 'y': 591}, {'x': 850, 'y': 591}, {'x': 850, 'y': 643}, {'x': 82, 'y': 644}]",has,"[{'x': 531, 'y': 592}, {'x': 617, 'y': 593}, {'x': 617, 'y': 643}, {'x': 531, 'y': 644}]",0.9980
The USPS package has arrived at,"[{'x': 82, 'y': 591}, {'x': 850, 'y': 591}, {'x': 850, 'y': 643}, {'x': 82, 'y': 644}]",arrived,"[{'x': 628, 'y': 593}, {'x': 782, 'y': 594}, {'x': 782, 'y': 642}, {'x': 628, 'y': 643}]",0.9940
The USPS package has arrived at,"[{'x': 82, 'y': 591}, {'x': 850, 'y': 591}, {'x': 850, 'y': 643}, {'x': 82, 'y': 644}]",at,"[{'x': 800, 'y': 594}, {'x': 851, 'y': 594}, {'x': 851, 'y': 641}, {'x': 800, 'y': 642}]",0.9980
the warehouse and cannot be,"[{'x': 82, 'y': 653}, {'x': 761, 'y': 653}, {'x': 761, 'y': 701}, {'x': 82, 'y': 700}]",the,"[{'x': 82, 'y': 653}, {'x': 152, 'y': 654}, {'x': 152, 'y': 701}, {'x': 82, 'y': 701}]",0.9990
the warehouse and cannot be,"[{'x': 82, 'y': 653}, {'x': 761, 'y': 653}, {'x': 761, 'y': 701}, {'x': 82, 'y': 700}]",warehouse,"[{'x': 165, 'y': 654}, {'x': 412, 'y': 655}, {'x': 411, 'y': 701}, {'x': 165, 'y': 701}]",0.9940
the warehouse and cannot be,"[{'x': 82, 'y': 653}, {'x': 761, 'y': 653}, {'x': 761, 'y': 701}, {'x': 82, 'y': 700}]",and,"[{'x': 431, 'y': 655}, {'x': 510, 'y': 655}, {'x': 509, 'y': 701}, {'x': 430, 'y': 701}]",0.9940
the warehouse and cannot be,"[{'x': 82, 'y': 653}, {'x': 761, 'y': 653}, {'x': 761, 'y': 701}, {'x': 82, 'y': 700}]",cannot,"[{'x': 529, 'y': 655}, {'x': 691, 'y': 655}, {'x': 689, 'y': 701}, {'x': 528, 'y': 701}]",0.9980
the warehouse and cannot be,"[{'x': 82, 'y': 653}, {'x': 761, 'y': 653}, {'x': 761, 'y': 701}, {'x': 82, 'y': 700}]",be,"[{'x': 700, 'y': 655}, {'x': 754, 'y': 655}, {'x': 753, 'y': 701}, {'x': 699, 'y': 701}]",0.9990
delivered due to incomplete,"[{'x': 82, 'y': 710}, {'x': 718, 'y': 713}, {'x': 717, 'y': 764}, {'x': 82, 'y': 761}]",delivered,"[{'x': 83, 'y': 710}, {'x': 286, 'y': 713}, {'x': 286, 'y': 763}, {'x': 84, 'y': 761}]",0.9940
delivered due to incomplete,"[{'x': 82, 'y': 710}, {'x': 718, 'y': 713}, {'x': 717, 'y': 764}, {'x': 82, 'y': 761}]",due,"[{'x': 303, 'y': 713}, {'x': 388, 'y': 713}, {'x': 388, 'y': 764}, {'x': 303, 'y': 763}]",0.9990
delivered due to incomplete,"[{'x': 82, 'y': 710}, {'x': 718, 'y': 713}, {'x': 717, 'y': 764}, {'x': 82, 'y': 761}]",to,"[{'x': 405, 'y': 713}, {'x': 447, 'y': 714}, {'x': 447, 'y': 764}, {'x': 405, 'y': 764}]",0.9990
delivered due to incomplete,"[{'x': 82, 'y': 710}, {'x': 718, 'y': 713}, {'x': 717, 'y': 764}, {'x': 82, 'y': 761}]",incomplete,"[{'x': 461, 'y': 714}, {'x': 717, 'y': 714}, {'x': 715, 'y': 763}, {'x': 461, 'y': 764}]",0.9950
address information. Please,"[{'x': 81, 'y': 772}, {'x': 718, 'y': 772}, {'x': 718, 'y': 822}, {'x': 81, 'y': 823}]",address,"[{'x': 81, 'y': 773}, {'x': 263, 'y': 772}, {'x': 264, 'y': 823}, {'x': 83, 'y': 824}]",0.9940
address information. Please,"[{'x': 81, 'y': 772}, {'x': 718, 'y': 772}, {'x': 718, 'y': 822}, {'x': 81, 'y': 823}]",information.,"[{'x': 273, 'y': 772}, {'x': 556, 'y': 773}, {'x': 557, 'y': 822}, {'x': 274, 'y': 823}]",0.9930
address information. Please,"[{'x': 81, 'y': 772}, {'x': 718, 'y': 772}, {'x': 718, 'y': 822}, {'x': 81, 'y': 823}]",Please,"[{'x': 566, 'y': 773}, {'x': 712, 'y': 774}, {'x': 712, 'y': 822}, {'x': 566, 'y': 822}]",0.9960
confirm your address in the link,"[{'x': 83, 'y': 834}, {'x': 800, 'y': 831}, {'x': 800, 'y': 880}, {'x': 83, 'y': 883}]",confirm,"[{'x': 83, 'y': 835}, {'x': 237, 'y': 834}, {'x': 237, 'y': 883}, {'x': 83, 'y': 883}]",0.9970
confirm your address in the link,"[{'x': 83, 'y': 834}, {'x': 800, 'y': 831}, {'x': 800, 'y': 880}, {'x': 83, 'y': 883}]",your,"[{'x': 267, 'y': 834}, {'x': 373, 'y': 834}, {'x': 374, 'y': 883}, {'x': 267, 'y': 883}]",0.9930
confirm your address in the link,"[{'x': 83, 'y': 834}, {'x': 800, 'y': 831}, {'x': 800, 'y': 880}, {'x': 83, 'y': 883}]",address,"[{'x': 383, 'y': 834}, {'x': 566, 'y': 833}, {'x': 567, 'y': 883}, {'x': 384, 'y': 883}]",0.9940
confirm your address in the link,"[{'x': 83, 'y': 834}, {'x': 800, 'y': 831}, {'x': 800, 'y': 880}, {'x': 83, 'y': 883}]",in,"[{'x': 577, 'y': 833}, {'x': 615, 'y': 833}, {'x': 616, 'y': 882}, {'x': 578, 'y': 882}]",0.9990
confirm your address in the link,"[{'x': 83, 'y': 834}, {'x': 800, 'y': 831}, {'x': 800, 'y': 880}, {'x': 83, 'y': 883}]",the,"[{'x': 631, 'y': 833}, {'x': 702, 'y': 832}, {'x': 703, 'y': 881}, {'x': 633, 'y': 882}]",0.9990
confirm your address in the link,"[{'x': 83, 'y': 834}, {'x': 800, 'y': 831}, {'x': 800, 'y': 880}, {'x': 83, 'y': 883}]",link,"[{'x': 715, 'y': 832}, {'x': 795, 'y': 832}, {'x': 797, 'y': 880}, {'x': 717, 'y': 881}]",0.9880
within 12 hours.,"[{'x': 83, 'y': 893}, {'x': 438, 'y': 894}, {'x': 438, 'y': 940}, {'x': 83, 'y': 939}]",within,"[{'x': 83, 'y': 895}, {'x': 210, 'y': 893}, {'x': 210, 'y': 939}, {'x': 83, 'y': 940}]",0.9960
within 12 hours.,"[{'x': 83, 'y': 893}, {'x': 438, 'y': 894}, {'x': 438, 'y': 940}, {'x': 83, 'y': 939}]",12,"[{'x': 234, 'y': 893}, {'x': 284, 'y': 894}, {'x': 284, 'y': 939}, {'x': 234, 'y': 939}]",0.9930
within 12 hours.,"[{'x': 83, 'y': 893}, {'x': 438, 'y': 894}, {'x': 438, 'y': 940}, {'x': 83, 'y': 939}]",hours.,"[{'x': 294, 'y': 894}, {'x': 439, 'y': 897}, {'x': 439, 'y': 941}, {'x': 294, 'y': 939}]",0.9930
https://us-usps-hbifhw.top/update,"[{'x': 80, 'y': 1010}, {'x': 868, 'y': 1009}, {'x': 868, 'y': 1064}, {'x': 80, 'y': 1065}]",https://us-usps-hbifhw.top/update,"[{'x': 81, 'y': 1011}, {'x': 863, 'y': 1010}, {'x': 863, 'y': 1066}, {'x': 81, 'y': 1066}]",0.9110
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]",(Please,"[{'x': 87, 'y': 1133}, {'x': 249, 'y': 1132}, {'x': 249, 'y': 1184}, {'x': 87, 'y': 1184}]",0.9940
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]",reply,"[{'x': 260, 'y': 1132}, {'x': 377, 'y': 1131}, {'x': 377, 'y': 1184}, {'x': 260, 'y': 1184}]",0.9970
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]",to,"[{'x': 389, 'y': 1131}, {'x': 433, 'y': 1131}, {'x': 433, 'y': 1184}, {'x': 389, 'y': 1184}]",0.9990
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]","Y,","[{'x': 451, 'y': 1131}, {'x': 489, 'y': 1130}, {'x': 489, 'y': 1184}, {'x': 451, 'y': 1184}]",0.9940
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]",then,"[{'x': 500, 'y': 1130}, {'x': 603, 'y': 1130}, {'x': 603, 'y': 1183}, {'x': 500, 'y': 1183}]",0.9870
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]",exit,"[{'x': 618, 'y': 1129}, {'x': 701, 'y': 1129}, {'x': 701, 'y': 1182}, {'x': 618, 'y': 1183}]",0.9930
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]",the,"[{'x': 711, 'y': 1129}, {'x': 783, 'y': 1128}, {'x': 783, 'y': 1182}, {'x': 711, 'y': 1182}]",0.9990
"SMS, open the SMS activation link","[{'x': 80, 'y': 1190}, {'x': 862, 'y': 1188}, {'x': 863, 'y': 1241}, {'x': 80, 'y': 1244}]","SMS,","[{'x': 82, 'y': 1193}, {'x': 205, 'y': 1191}, {'x': 203, 'y': 1244}, {'x': 81, 'y': 1244}]",0.9850
"SMS, open the SMS activation link","[{'x': 80, 'y': 1190}, {'x': 862, 'y': 1188}, {'x': 863, 'y': 1241}, {'x': 80, 'y': 1244}]",open,"[{'x': 215, 'y': 1191}, {'x': 326, 'y': 1190}, {'x': 325, 'y': 1244}, {'x': 214, 'y': 1244}]",0.9900
