Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
11:07,"[{'x': 130, 'y': 54}, {'x': 253, 'y': 54}, {'x': 251, 'y': 100}, {'x': 130, 'y': 101}]",11:07,"[{'x': 130, 'y': 54}, {'x': 252, 'y': 54}, {'x': 252, 'y': 100}, {'x': 130, 'y': 101}]",0.9890
50,"[{'x': 992, 'y': 57}, {'x': 1084, 'y': 58}, {'x': 1083, 'y': 96}, {'x': 992, 'y': 98}]",50,"[{'x': 1019, 'y': 57}, {'x': 1068, 'y': 57}, {'x': 1068, 'y': 98}, {'x': 1019, 'y': 98}]",0.9930
3,"[{'x': 107, 'y': 207}, {'x': 133, 'y': 209}, {'x': 131, 'y': 239}, {'x': 106, 'y': 238}]",3,"[{'x': 111, 'y': 207}, {'x': 127, 'y': 208}, {'x': 125, 'y': 239}, {'x': 109, 'y': 238}]",0.9950
+1 (757) 832-3052,"[{'x': 419, 'y': 323}, {'x': 735, 'y': 323}, {'x': 735, 'y': 359}, {'x': 419, 'y': 361}]",+1,"[{'x': 424, 'y': 323}, {'x': 459, 'y': 323}, {'x': 460, 'y': 361}, {'x': 425, 'y': 362}]",0.9900
+1 (757) 832-3052,"[{'x': 419, 'y': 323}, {'x': 735, 'y': 323}, {'x': 735, 'y': 359}, {'x': 419, 'y': 361}]",(757),"[{'x': 466, 'y': 323}, {'x': 555, 'y': 324}, {'x': 556, 'y': 359}, {'x': 467, 'y': 361}]",0.9890
+1 (757) 832-3052,"[{'x': 419, 'y': 323}, {'x': 735, 'y': 323}, {'x': 735, 'y': 359}, {'x': 419, 'y': 361}]",832-3052,"[{'x': 562, 'y': 324}, {'x': 723, 'y': 323}, {'x': 723, 'y': 358}, {'x': 563, 'y': 359}]",0.9780
Text Message,"[{'x': 472, 'y': 427}, {'x': 698, 'y': 430}, {'x': 698, 'y': 464}, {'x': 472, 'y': 462}]",Text,"[{'x': 477, 'y': 428}, {'x': 543, 'y': 430}, {'x': 542, 'y': 462}, {'x': 477, 'y': 463}]",0.9930
Text Message,"[{'x': 472, 'y': 427}, {'x': 698, 'y': 430}, {'x': 698, 'y': 464}, {'x': 472, 'y': 462}]",Message,"[{'x': 549, 'y': 430}, {'x': 693, 'y': 433}, {'x': 691, 'y': 464}, {'x': 548, 'y': 462}]",0.9940
"Sun, Mar 17 at 10:43 AM","[{'x': 390, 'y': 465}, {'x': 777, 'y': 465}, {'x': 777, 'y': 501}, {'x': 390, 'y': 502}]","Sun,","[{'x': 394, 'y': 466}, {'x': 465, 'y': 466}, {'x': 464, 'y': 502}, {'x': 393, 'y': 503}]",0.9910
"Sun, Mar 17 at 10:43 AM","[{'x': 390, 'y': 465}, {'x': 777, 'y': 465}, {'x': 777, 'y': 501}, {'x': 390, 'y': 502}]",Mar,"[{'x': 472, 'y': 466}, {'x': 538, 'y': 467}, {'x': 537, 'y': 500}, {'x': 471, 'y': 501}]",0.9980
"Sun, Mar 17 at 10:43 AM","[{'x': 390, 'y': 465}, {'x': 777, 'y': 465}, {'x': 777, 'y': 501}, {'x': 390, 'y': 502}]",17,"[{'x': 548, 'y': 467}, {'x': 583, 'y': 467}, {'x': 582, 'y': 500}, {'x': 547, 'y': 500}]",0.9930
"Sun, Mar 17 at 10:43 AM","[{'x': 390, 'y': 465}, {'x': 777, 'y': 465}, {'x': 777, 'y': 501}, {'x': 390, 'y': 502}]",at,"[{'x': 590, 'y': 467}, {'x': 625, 'y': 467}, {'x': 624, 'y': 500}, {'x': 589, 'y': 500}]",0.9940
"Sun, Mar 17 at 10:43 AM","[{'x': 390, 'y': 465}, {'x': 777, 'y': 465}, {'x': 777, 'y': 501}, {'x': 390, 'y': 502}]",10:43,"[{'x': 632, 'y': 467}, {'x': 718, 'y': 467}, {'x': 718, 'y': 499}, {'x': 631, 'y': 500}]",0.9980
