Line Text,Bounding Box
10:53,"[{'x': 122, 'y': 33}, {'x': 258, 'y': 31}, {'x': 258, 'y': 73}, {'x': 122, 'y': 76}]"
5 52,"[{'x': 932, 'y': 56}, {'x': 1086, 'y': 56}, {'x': 1086, 'y': 98}, {'x': 932, 'y': 97}]"
YouTube,"[{'x': 38, 'y': 95}, {'x': 212, 'y': 95}, {'x': 212, 'y': 125}, {'x': 38, 'y': 125}]"
3,"[{'x': 107, 'y': 207}, {'x': 133, 'y': 210}, {'x': 131, 'y': 239}, {'x': 106, 'y': 239}]"
sch5002@naver.com,"[{'x': 402, 'y': 325}, {'x': 740, 'y': 325}, {'x': 740, 'y': 356}, {'x': 402, 'y': 356}]"
iMessage,"[{'x': 506, 'y': 428}, {'x': 662, 'y': 431}, {'x': 661, 'y': 463}, {'x': 506, 'y': 461}]"
"Aug 11, 2023 at 1:41PM","[{'x': 395, 'y': 466}, {'x': 774, 'y': 465}, {'x': 774, 'y': 500}, {'x': 395, 'y': 503}]"
The USPS package has arrived at,"[{'x': 83, 'y': 559}, {'x': 845, 'y': 559}, {'x': 845, 'y': 611}, {'x': 83, 'y': 610}]"
the warehouse and cannot be,"[{'x': 81, 'y': 621}, {'x': 762, 'y': 620}, {'x': 762, 'y': 669}, {'x': 81, 'y': 670}]"
delivered due to incomplete,"[{'x': 81, 'y': 679}, {'x': 720, 'y': 680}, {'x': 719, 'y': 732}, {'x': 81, 'y': 730}]"
address information. Please,"[{'x': 82, 'y': 740}, {'x': 716, 'y': 741}, {'x': 716, 'y': 790}, {'x': 82, 'y': 789}]"
confirm your address in the link.,"[{'x': 82, 'y': 800}, {'x': 809, 'y': 797}, {'x': 809, 'y': 851}, {'x': 82, 'y': 853}]"
https://epjups.com,"[{'x': 82, 'y': 919}, {'x': 510, 'y': 920}, {'x': 510, 'y': 974}, {'x': 82, 'y': 974}]"
"(Please reply to 1, then exit the","[{'x': 87, 'y': 1037}, {'x': 786, 'y': 1037}, {'x': 786, 'y': 1091}, {'x': 87, 'y': 1092}]"
"SMS, open the SMS activation link","[{'x': 82, 'y': 1100}, {'x': 864, 'y': 1097}, {'x': 865, 'y': 1149}, {'x': 82, 'y': 1152}]"
"again, or copy the link to Safari","[{'x': 81, 'y': 1160}, {'x': 790, 'y': 1156}, {'x': 790, 'y': 1210}, {'x': 81, 'y': 1214}]"
browser and open it),"[{'x': 80, 'y': 1218}, {'x': 553, 'y': 1218}, {'x': 553, 'y': 1274}, {'x': 80, 'y': 1273}]"
The USPS team wishes you a,"[{'x': 82, 'y': 1335}, {'x': 750, 'y': 1340}, {'x': 749, 'y': 1393}, {'x': 82, 'y': 1389}]"
great day!,"[{'x': 80, 'y': 1402}, {'x': 316, 'y': 1397}, {'x': 317, 'y': 1450}, {'x': 80, 'y': 1454}]"
The sender is not in your contact list.,"[{'x': 282, 'y': 1536}, {'x': 881, 'y': 1537}, {'x': 881, 'y': 1574}, {'x': 282, 'y': 1574}]"
Report Junk,"[{'x': 482, 'y': 1594}, {'x': 686, 'y': 1592}, {'x': 687, 'y': 1629}, {'x': 482, 'y': 1631}]"
+,"[{'x': 68, 'y': 2328}, {'x': 116, 'y': 2328}, {'x': 117, 'y': 2374}, {'x': 68, 'y': 2374}]"
iMessage,"[{'x': 215, 'y': 2326}, {'x': 441, 'y': 2329}, {'x': 441, 'y': 2381}, {'x': 215, 'y': 2378}]"
