Line Text,Bounding Box
5:33,"[{'x': 134, 'y': 54}, {'x': 248, 'y': 54}, {'x': 247, 'y': 97}, {'x': 134, 'y': 97}]"
237,"[{'x': 110, 'y': 210}, {'x': 169, 'y': 211}, {'x': 169, 'y': 239}, {'x': 110, 'y': 241}]"
+1 (409) 796-9392 ),"[{'x': 416, 'y': 323}, {'x': 739, 'y': 323}, {'x': 739, 'y': 358}, {'x': 416, 'y': 360}]"
Text Message . SMS,"[{'x': 418, 'y': 427}, {'x': 751, 'y': 427}, {'x': 751, 'y': 464}, {'x': 418, 'y': 464}]"
"Sun, Sep 29 at 7:30 PM","[{'x': 395, 'y': 464}, {'x': 772, 'y': 464}, {'x': 772, 'y': 501}, {'x': 395, 'y': 501}]"
Simmons here. Become a part of our,"[{'x': 81, 'y': 562}, {'x': 792, 'y': 563}, {'x': 792, 'y': 605}, {'x': 81, 'y': 604}]"
group and get to know how to access,"[{'x': 80, 'y': 617}, {'x': 805, 'y': 615}, {'x': 806, 'y': 656}, {'x': 80, 'y': 659}]"
18k+ for each day in the blockc.hain,"[{'x': 83, 'y': 664}, {'x': 778, 'y': 663}, {'x': 778, 'y': 708}, {'x': 83, 'y': 708}]"
market. Send a message with 'Y' via this,"[{'x': 81, 'y': 716}, {'x': 867, 'y': 715}, {'x': 867, 'y': 759}, {'x': 81, 'y': 760}]"
"method for details, you'll make an extra","[{'x': 81, 'y': 766}, {'x': 846, 'y': 766}, {'x': 846, 'y': 811}, {'x': 81, 'y': 810}]"
890 . Thank u. - yiwmi,"[{'x': 83, 'y': 815}, {'x': 522, 'y': 816}, {'x': 522, 'y': 861}, {'x': 82, 'y': 860}]"
The sender is not in your contact list.,"[{'x': 284, 'y': 950}, {'x': 884, 'y': 949}, {'x': 884, 'y': 989}, {'x': 284, 'y': 990}]"
Report Junk,"[{'x': 482, 'y': 1009}, {'x': 686, 'y': 1008}, {'x': 687, 'y': 1044}, {'x': 482, 'y': 1046}]"
+,"[{'x': 68, 'y': 2328}, {'x': 116, 'y': 2328}, {'x': 116, 'y': 2374}, {'x': 68, 'y': 2374}]"
Text Message . SMS,"[{'x': 215, 'y': 2326}, {'x': 618, 'y': 2326}, {'x': 618, 'y': 2374}, {'x': 215, 'y': 2374}]"
