Line Text,Bounding Box
11:06,"[{'x': 151, 'y': 66}, {'x': 281, 'y': 64}, {'x': 282, 'y': 107}, {'x': 151, 'y': 109}]"
100,"[{'x': 1008, 'y': 73}, {'x': 1073, 'y': 71}, {'x': 1073, 'y': 101}, {'x': 1007, 'y': 103}]"
ozellastreich_91318@dongyuandianqi.com,"[{'x': 242, 'y': 355}, {'x': 925, 'y': 356}, {'x': 925, 'y': 393}, {'x': 242, 'y': 391}]"
iMessage,"[{'x': 511, 'y': 459}, {'x': 666, 'y': 462}, {'x': 666, 'y': 492}, {'x': 511, 'y': 491}]"
Today 10:58 AM,"[{'x': 462, 'y': 497}, {'x': 717, 'y': 497}, {'x': 717, 'y': 532}, {'x': 462, 'y': 532}]"
The USPS package has arrived at,"[{'x': 82, 'y': 591}, {'x': 850, 'y': 591}, {'x': 850, 'y': 643}, {'x': 82, 'y': 644}]"
the warehouse and cannot be,"[{'x': 82, 'y': 653}, {'x': 761, 'y': 653}, {'x': 761, 'y': 701}, {'x': 82, 'y': 700}]"
delivered due to incomplete,"[{'x': 82, 'y': 710}, {'x': 718, 'y': 713}, {'x': 717, 'y': 764}, {'x': 82, 'y': 761}]"
address information. Please,"[{'x': 81, 'y': 772}, {'x': 718, 'y': 772}, {'x': 718, 'y': 822}, {'x': 81, 'y': 823}]"
confirm your address in the link,"[{'x': 83, 'y': 834}, {'x': 800, 'y': 831}, {'x': 800, 'y': 880}, {'x': 83, 'y': 883}]"
within 12 hours.,"[{'x': 83, 'y': 893}, {'x': 438, 'y': 894}, {'x': 438, 'y': 940}, {'x': 83, 'y': 939}]"
https://us-usps-hbifhw.top/update,"[{'x': 80, 'y': 1010}, {'x': 868, 'y': 1009}, {'x': 868, 'y': 1064}, {'x': 80, 'y': 1065}]"
"(Please reply to Y, then exit the","[{'x': 86, 'y': 1131}, {'x': 788, 'y': 1127}, {'x': 789, 'y': 1181}, {'x': 86, 'y': 1184}]"
"SMS, open the SMS activation link","[{'x': 80, 'y': 1190}, {'x': 862, 'y': 1188}, {'x': 863, 'y': 1241}, {'x': 80, 'y': 1244}]"
"again, or copy the link to Safari","[{'x': 80, 'y': 1254}, {'x': 791, 'y': 1249}, {'x': 792, 'y': 1302}, {'x': 80, 'y': 1307}]"
browser and open it),"[{'x': 79, 'y': 1311}, {'x': 556, 'y': 1311}, {'x': 556, 'y': 1365}, {'x': 79, 'y': 1365}]"
The US Postal team wishes you a,"[{'x': 83, 'y': 1430}, {'x': 841, 'y': 1433}, {'x': 841, 'y': 1484}, {'x': 83, 'y': 1479}]"
wonderful day,"[{'x': 83, 'y': 1490}, {'x': 413, 'y': 1492}, {'x': 412, 'y': 1544}, {'x': 83, 'y': 1541}]"
The sender is not in your contact list.,"[{'x': 286, 'y': 1628}, {'x': 884, 'y': 1628}, {'x': 884, 'y': 1667}, {'x': 286, 'y': 1667}]"
Report Junk,"[{'x': 488, 'y': 1683}, {'x': 690, 'y': 1684}, {'x': 690, 'y': 1724}, {'x': 488, 'y': 1723}]"
+,"[{'x': 69, 'y': 2351}, {'x': 115, 'y': 2351}, {'x': 115, 'y': 2400}, {'x': 69, 'y': 2399}]"
iMessage,"[{'x': 214, 'y': 2350}, {'x': 438, 'y': 2353}, {'x': 437, 'y': 2404}, {'x': 214, 'y': 2401}]"
