Line Text,Bounding Box
10:52,"[{'x': 122, 'y': 31}, {'x': 257, 'y': 31}, {'x': 257, 'y': 74}, {'x': 122, 'y': 73}]"
~ 52,"[{'x': 932, 'y': 59}, {'x': 1084, 'y': 58}, {'x': 1085, 'y': 97}, {'x': 932, 'y': 98}]"
YouTube,"[{'x': 38, 'y': 95}, {'x': 207, 'y': 96}, {'x': 207, 'y': 126}, {'x': 38, 'y': 125}]"
4,"[{'x': 106, 'y': 206}, {'x': 133, 'y': 209}, {'x': 133, 'y': 241}, {'x': 104, 'y': 239}]"
lundriganchandra@gmail.com >,"[{'x': 336, 'y': 321}, {'x': 825, 'y': 322}, {'x': 825, 'y': 360}, {'x': 336, 'y': 359}]"
iMessage,"[{'x': 505, 'y': 429}, {'x': 661, 'y': 429}, {'x': 661, 'y': 465}, {'x': 505, 'y': 464}]"
"Thu, May 9 at 7:12 PM","[{'x': 409, 'y': 466}, {'x': 756, 'y': 466}, {'x': 756, 'y': 502}, {'x': 409, 'y': 506}]"
I'm Miranda from Glassdoor,"[{'x': 86, 'y': 559}, {'x': 716, 'y': 560}, {'x': 716, 'y': 609}, {'x': 86, 'y': 609}]"
(USA). We offer quality remote,"[{'x': 86, 'y': 619}, {'x': 785, 'y': 619}, {'x': 785, 'y': 675}, {'x': 86, 'y': 675}]"
online part-time/full-time jobs,"[{'x': 81, 'y': 682}, {'x': 762, 'y': 680}, {'x': 763, 'y': 731}, {'x': 81, 'y': 733}]"
helping Costco merchants update,"[{'x': 82, 'y': 741}, {'x': 858, 'y': 741}, {'x': 858, 'y': 791}, {'x': 82, 'y': 792}]"
their data and increase visibility,"[{'x': 82, 'y': 799}, {'x': 803, 'y': 800}, {'x': 803, 'y': 853}, {'x': 82, 'y': 851}]"
and bookings with free training.,"[{'x': 79, 'y': 860}, {'x': 803, 'y': 861}, {'x': 803, 'y': 914}, {'x': 79, 'y': 914}]"
Part-time and full-time flex jobs,"[{'x': 82, 'y': 920}, {'x': 805, 'y': 921}, {'x': 805, 'y': 973}, {'x': 82, 'y': 972}]"
"allow you to work 4 days a week,","[{'x': 82, 'y': 981}, {'x': 829, 'y': 981}, {'x': 829, 'y': 1033}, {'x': 82, 'y': 1033}]"
"work simply, when and where you","[{'x': 80, 'y': 1042}, {'x': 852, 'y': 1041}, {'x': 852, 'y': 1094}, {'x': 80, 'y': 1096}]"
want (based on your own,"[{'x': 81, 'y': 1102}, {'x': 659, 'y': 1102}, {'x': 659, 'y': 1152}, {'x': 81, 'y': 1153}]"
"schedule), and earn daily bonuses","[{'x': 81, 'y': 1160}, {'x': 864, 'y': 1160}, {'x': 864, 'y': 1212}, {'x': 81, 'y': 1213}]"
of $50 to $500. Receive a base,"[{'x': 81, 'y': 1219}, {'x': 801, 'y': 1219}, {'x': 801, 'y': 1271}, {'x': 81, 'y': 1271}]"
"salary of $1,000 for every 4 work","[{'x': 80, 'y': 1281}, {'x': 837, 'y': 1280}, {'x': 837, 'y': 1332}, {'x': 80, 'y': 1334}]"
days worked. This job can bring a,"[{'x': 80, 'y': 1341}, {'x': 847, 'y': 1341}, {'x': 847, 'y': 1394}, {'x': 80, 'y': 1393}]"
