Line Text,Bounding Box
10:58,"[{'x': 126, 'y': 54}, {'x': 260, 'y': 55}, {'x': 259, 'y': 99}, {'x': 126, 'y': 99}]"
3,"[{'x': 107, 'y': 207}, {'x': 133, 'y': 210}, {'x': 131, 'y': 239}, {'x': 106, 'y': 239}]"
+1 (608) 807-2767 >,"[{'x': 419, 'y': 324}, {'x': 741, 'y': 324}, {'x': 741, 'y': 359}, {'x': 419, 'y': 359}]"
Text Message,"[{'x': 471, 'y': 429}, {'x': 696, 'y': 430}, {'x': 696, 'y': 462}, {'x': 471, 'y': 461}]"
"Dec 10, 2020 at 2:17 PM","[{'x': 392, 'y': 466}, {'x': 777, 'y': 465}, {'x': 777, 'y': 499}, {'x': 392, 'y': 500}]"
(1/3) RAFAELA YESENIA,"[{'x': 86, 'y': 558}, {'x': 623, 'y': 558}, {'x': 623, 'y': 609}, {'x': 86, 'y': 611}]"
MAGANDA,"[{'x': 82, 'y': 623}, {'x': 331, 'y': 621}, {'x': 331, 'y': 665}, {'x': 82, 'y': 667}]"
Comuniquese a Hy Cite LLC,"[{'x': 83, 'y': 680}, {'x': 725, 'y': 676}, {'x': 725, 'y': 729}, {'x': 83, 'y': 732}]"
Financiera Royal Prestige al,"[{'x': 82, 'y': 738}, {'x': 719, 'y': 738}, {'x': 719, 'y': 791}, {'x': 82, 'y': 790}]"
1-800-280-9708.,"[{'x': 82, 'y': 799}, {'x': 486, 'y': 798}, {'x': 486, 'y': 847}, {'x': 82, 'y': 849}]"
Cta # 24895222,"[{'x': 80, 'y': 858}, {'x': 465, 'y': 858}, {'x': 465, 'y': 906}, {'x': 80, 'y': 907}]"
Pague directo y facil en linea en,"[{'x': 84, 'y': 919}, {'x': 805, 'y': 919}, {'x': 805, 'y': 970}, {'x': 84, 'y': 971}]"
nuestra,"[{'x': 84, 'y': 988}, {'x': 260, 'y': 987}, {'x': 260, 'y': 1024}, {'x': 84, 'y': 1025}]"
(2/3)pagina o escribenos a,"[{'x': 86, 'y': 1086}, {'x': 709, 'y': 1086}, {'x': 710, 'y': 1140}, {'x': 86, 'y': 1142}]"
customersHC31+@hycite.com,"[{'x': 81, 'y': 1149}, {'x': 775, 'y': 1149}, {'x': 775, 'y': 1198}, {'x': 81, 'y': 1198}]"
Visita https://,"[{'x': 83, 'y': 1207}, {'x': 386, 'y': 1208}, {'x': 385, 'y': 1258}, {'x': 83, 'y': 1256}]"
customers.hycite.com,"[{'x': 81, 'y': 1269}, {'x': 587, 'y': 1268}, {'x': 587, 'y': 1314}, {'x': 81, 'y': 1316}]"
This is an attempt to collect a,"[{'x': 80, 'y': 1324}, {'x': 755, 'y': 1325}, {'x': 755, 'y': 1379}, {'x': 80, 'y': 1378}]"
debt by Hy Cite Enterprises LLC a,"[{'x': 82, 'y': 1388}, {'x': 850, 'y': 1386}, {'x': 850, 'y': 1439}, {'x': 82, 'y': 1442}]"
(3/3)nd any information obtained,"[{'x': 85, 'y': 1494}, {'x': 834, 'y': 1493}, {'x': 834, 'y': 1549}, {'x': 85, 'y': 1551}]"
"will be used for that purpose""","[{'x': 82, 'y': 1556}, {'x': 756, 'y': 1556}, {'x': 756, 'y': 1610}, {'x': 82, 'y': 1608}]"
The sender is not in your contact list.,"[{'x': 284, 'y': 1692}, {'x': 884, 'y': 1692}, {'x': 884, 'y': 1730}, {'x': 284, 'y': 1730}]"
Report Junk,"[{'x': 481, 'y': 1749}, {'x': 687, 'y': 1749}, {'x': 687, 'y': 1785}, {'x': 481, 'y': 1786}]"
+,"[{'x': 69, 'y': 2327}, {'x': 118, 'y': 2328}, {'x': 116, 'y': 2375}, {'x': 68, 'y': 2374}]"
Text Message,"[{'x': 213, 'y': 2327}, {'x': 538, 'y': 2330}, {'x': 537, 'y': 2380}, {'x': 213, 'y': 2377}]"
