Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
10:53,"[{'x': 122, 'y': 33}, {'x': 258, 'y': 31}, {'x': 258, 'y': 73}, {'x': 122, 'y': 76}]",10:53,"[{'x': 127, 'y': 33}, {'x': 254, 'y': 31}, {'x': 253, 'y': 75}, {'x': 125, 'y': 76}]",0.9920
5 52,"[{'x': 932, 'y': 56}, {'x': 1086, 'y': 56}, {'x': 1086, 'y': 98}, {'x': 932, 'y': 97}]",5,"[{'x': 940, 'y': 59}, {'x': 960, 'y': 58}, {'x': 961, 'y': 96}, {'x': 941, 'y': 96}]",0.2390
5 52,"[{'x': 932, 'y': 56}, {'x': 1086, 'y': 56}, {'x': 1086, 'y': 98}, {'x': 932, 'y': 97}]",52,"[{'x': 1019, 'y': 57}, {'x': 1073, 'y': 58}, {'x': 1070, 'y': 98}, {'x': 1018, 'y': 97}]",0.3830
YouTube,"[{'x': 38, 'y': 95}, {'x': 212, 'y': 95}, {'x': 212, 'y': 125}, {'x': 38, 'y': 125}]",YouTube,"[{'x': 73, 'y': 96}, {'x': 205, 'y': 97}, {'x': 202, 'y': 126}, {'x': 71, 'y': 126}]",0.9570
3,"[{'x': 107, 'y': 207}, {'x': 133, 'y': 210}, {'x': 131, 'y': 239}, {'x': 106, 'y': 239}]",3,"[{'x': 111, 'y': 207}, {'x': 128, 'y': 208}, {'x': 126, 'y': 240}, {'x': 109, 'y': 239}]",0.9970
sch5002@naver.com,"[{'x': 402, 'y': 325}, {'x': 740, 'y': 325}, {'x': 740, 'y': 356}, {'x': 402, 'y': 356}]",sch5002@naver.com,"[{'x': 408, 'y': 326}, {'x': 720, 'y': 328}, {'x': 722, 'y': 354}, {'x': 408, 'y': 356}]",0.9590
iMessage,"[{'x': 506, 'y': 428}, {'x': 662, 'y': 431}, {'x': 661, 'y': 463}, {'x': 506, 'y': 461}]",iMessage,"[{'x': 508, 'y': 429}, {'x': 658, 'y': 433}, {'x': 657, 'y': 464}, {'x': 506, 'y': 462}]",0.9930
"Aug 11, 2023 at 1:41PM","[{'x': 395, 'y': 466}, {'x': 774, 'y': 465}, {'x': 774, 'y': 500}, {'x': 395, 'y': 503}]",Aug,"[{'x': 397, 'y': 466}, {'x': 457, 'y': 466}, {'x': 456, 'y': 503}, {'x': 395, 'y': 504}]",0.9940
"Aug 11, 2023 at 1:41PM","[{'x': 395, 'y': 466}, {'x': 774, 'y': 465}, {'x': 774, 'y': 500}, {'x': 395, 'y': 503}]","11,","[{'x': 471, 'y': 466}, {'x': 516, 'y': 466}, {'x': 514, 'y': 502}, {'x': 470, 'y': 502}]",0.9970
"Aug 11, 2023 at 1:41PM","[{'x': 395, 'y': 466}, {'x': 774, 'y': 465}, {'x': 774, 'y': 500}, {'x': 395, 'y': 503}]",2023,"[{'x': 523, 'y': 466}, {'x': 604, 'y': 466}, {'x': 602, 'y': 500}, {'x': 522, 'y': 501}]",0.9910
"Aug 11, 2023 at 1:41PM","[{'x': 395, 'y': 466}, {'x': 774, 'y': 465}, {'x': 774, 'y': 500}, {'x': 395, 'y': 503}]",at,"[{'x': 616, 'y': 466}, {'x': 649, 'y': 466}, {'x': 647, 'y': 500}, {'x': 614, 'y': 500}]",0.9970
"Aug 11, 2023 at 1:41PM","[{'x': 395, 'y': 466}, {'x': 774, 'y': 465}, {'x': 774, 'y': 500}, {'x': 395, 'y': 503}]",1:41PM,"[{'x': 657, 'y': 466}, {'x': 760, 'y': 468}, {'x': 757, 'y': 499}, {'x': 654, 'y': 500}]",0.9750
The USPS package has arrived at,"[{'x': 83, 'y': 559}, {'x': 845, 'y': 559}, {'x': 845, 'y': 611}, {'x': 83, 'y': 610}]",The,"[{'x': 87, 'y': 559}, {'x': 166, 'y': 560}, {'x': 166, 'y': 611}, {'x': 87, 'y': 611}]",0.9990
The USPS package has arrived at,"[{'x': 83, 'y': 559}, {'x': 845, 'y': 559}, {'x': 845, 'y': 611}, {'x': 83, 'y': 610}]",USPS,"[{'x': 181, 'y': 560}, {'x': 310, 'y': 560}, {'x': 310, 'y': 611}, {'x': 181, 'y': 611}]",0.9890
The USPS package has arrived at,"[{'x': 83, 'y': 559}, {'x': 845, 'y': 559}, {'x': 845, 'y': 611}, {'x': 83, 'y': 610}]",package,"[{'x': 324, 'y': 560}, {'x': 518, 'y': 561}, {'x': 518, 'y': 611}, {'x': 324, 'y': 611}]",0.9970
The USPS package has arrived at,"[{'x': 83, 'y': 559}, {'x': 845, 'y': 559}, {'x': 845, 'y': 611}, {'x': 83, 'y': 610}]",has,"[{'x': 529, 'y': 561}, {'x': 615, 'y': 561}, {'x': 615, 'y': 611}, {'x': 529, 'y': 611}]",0.9990
The USPS package has arrived at,"[{'x': 83, 'y': 559}, {'x': 845, 'y': 559}, {'x': 845, 'y': 611}, {'x': 83, 'y': 610}]",arrived,"[{'x': 626, 'y': 561}, {'x': 779, 'y': 560}, {'x': 779, 'y': 611}, {'x': 626, 'y': 611}]",0.9950
The USPS package has arrived at,"[{'x': 83, 'y': 559}, {'x': 845, 'y': 559}, {'x': 845, 'y': 611}, {'x': 83, 'y': 610}]",at,"[{'x': 800, 'y': 560}, {'x': 843, 'y': 560}, {'x': 843, 'y': 611}, {'x': 800, 'y': 611}]",0.9980
the warehouse and cannot be,"[{'x': 81, 'y': 621}, {'x': 762, 'y': 620}, {'x': 762, 'y': 669}, {'x': 81, 'y': 670}]",the,"[{'x': 83, 'y': 621}, {'x': 151, 'y': 622}, {'x': 149, 'y': 669}, {'x': 82, 'y': 669}]",0.9990
the warehouse and cannot be,"[{'x': 81, 'y': 621}, {'x': 762, 'y': 620}, {'x': 762, 'y': 669}, {'x': 81, 'y': 670}]",warehouse,"[{'x': 167, 'y': 622}, {'x': 414, 'y': 623}, {'x': 412, 'y': 670}, {'x': 166, 'y': 670}]",0.9930
the warehouse and cannot be,"[{'x': 81, 'y': 621}, {'x': 762, 'y': 620}, {'x': 762, 'y': 669}, {'x': 81, 'y': 670}]",and,"[{'x': 433, 'y': 623}, {'x': 511, 'y': 623}, {'x': 509, 'y': 670}, {'x': 431, 'y': 670}]",0.9990
the warehouse and cannot be,"[{'x': 81, 'y': 621}, {'x': 762, 'y': 620}, {'x': 762, 'y': 669}, {'x': 81, 'y': 670}]",cannot,"[{'x': 530, 'y': 623}, {'x': 690, 'y': 622}, {'x': 687, 'y': 669}, {'x': 528, 'y': 670}]",0.9980
